RptDt;CorpActnCtrlNb;PblctnDt;OrgnInf;TckrSymb;SctyId;SctySrc;MktIdrCd;OrgnNgtnFctr;ISINPdct;DstnNgtnFctr;ISINRqst;ISINRslt;DstrbtnId;CrpnNm;SpcfctnCd;CorpActnEvtTpCd;CorpActnDesc;NtceTp;NtceDt;RefDt;SpclExDt;PmtDt;SbcptStartDt;SbcptEndDt;TradgEndDt;AssgnmtEndDt;TrfEndDt;EvtVal;SbcptFinVal;BonusVal;FrctnTrtmnt;EvtActnTpCd;PricFctr;ClctnSeq;Lk;DstrbtnPdct;DstrbtnDstn;MtgUpdRsnTxt;CrtApprvlDt;CorpActnCrrctnInd;IndxShrtNm;UpdtdEvtVal;ErngVal;StartDtCrrctn;EndDtCrrctn;PmtInstlmtNb;PmtInstlmtQty;EvtInstlmtVal;TtlShrBFROEvt;TtlShrAftrEvt;ShrPpsnBFROEvt;ShrPpsnAftrEvt;DaysToPosAdjstmnt;ShrSpltRghtPrtcptnTp;AuctnShrQty;AuctnDt
2022-12-14;1E12917D1E504313951A81787F2272A3;2022-12-14;System;A1AP34;200000942748;8;BVMF;BRA1APBDR001;BRA1APBDR001;BRA1APBDR001;;;112;ADVANCE AUTO PARTS INC;DRN;10;DIVIDENDO;;2022-12-14;2022-12-14;2022-12-15;2023-01-09;;;;;;0.33617853300;;;;I;;;;;;;;;;;;;;;;;;;;;;;;
2023-01-04;1E12917D1E504313951A81787F2272A3;2023-01-04;Schedule;A1AP34;;;;;;;;;;ADVANCE AUTO PARTS INC;DRN;10;Dividendo;ADVANCE AUTO - Aviso aos Acionistas - 04/01/23;2023-01-04;2022-12-14;2022-12-15;2023-01-09;;;;;;0.34531018900;;;;U;;;https://www.rad.cvm.gov.br/ENET/frmExibirArquivoIPEExterno.aspx?ID=1046685&flnk;;;;;;;;;;;;1;;;;;;;;;
