Status do Arquivo: Final
RptDt;TckrSymb;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;ConvsCritNm;MtrtyDtTrgtPt;ReqrdConvsInd;ISIN;CFICd;DlvryNtceStartDt;DlvryNtceEndDt;OptnTp;CtrctMltplr;AsstQtnQty;AllcnRndLot;TradgCcy;DlvryTpNm;WdrwlDays;WrkgDays;ClnrDays;RlvrBasePricNm;OpngFutrPosDay;SdTpCd1;UndrlygTckrSymb1;SdTpCd2;UndrlygTckrSymb2;PureGoldWght;ExrcPric;OptnStyle;ValTpNm;PrmUpfrntInd;OpngPosLmtDt;DstrbtnId;PricFctr;DaysToSttlm;SrsTpNm;PrtcnFlg;AutomtcExrcInd;SpcfctnCd;CrpnNm;CorpActnStartDt;CtdyTrtmntTpNm;MktCptlstn;CorpGovnLvlNm
2026-08-21;PETR3;PETR;PETR;CASH;EQUITY-CASH;SHARES;;;2026-06-02;9999-12-31;;;;;BRPETRACNOR9;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;214;1;2;;;;ON      N2;PETROLEO BRASILEIRO S.A. PETROBRAS;9999-12-31;FUNGIBLE;7442231382;NIVEL 2
2026-08-21;PETR4;PETR;PETR;CASH;EQUITY-CASH;SHARES;;;2026-07-23;9999-12-31;;;;;BRPETRACNPR6;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;229;1;2;;;;PN      N2;PETROLEO BRASILEIRO S.A. PETROBRAS;9999-12-31;FUNGIBLE;5446501379;NIVEL 2
2026-08-21;VALE3;VALE;VALE;CASH;EQUITY-CASH;SHARES;;;2026-08-12;9999-12-31;;;;;BRVALEACNOR0;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;223;1;2;;;;ON  EDJ NM;VALE S.A.;9999-12-31;FUNGIBLE;4439159752;NOVO MERCADO
